scenario,room,name,type,category,available,modable,collectible,consumable,uses,color,img,pos,speed,range,time_color,lifespan,vibe_freq
Scenario_1,,my_body,body,my_body,TRUE,,,,,dark_grey,galab,12_12,1,1,black,60,
Scenario_1,12_8,lover,body,lover,,,,,,cyclama,bqlgalab,14_10,1,1,,,
Scenario_1,,eat,mode_option,my_body,TRUE,TRUE,,,,dark_grey,emoji_lips_y,,,,,,
,,,,,,,,,,,,,,,,,
Scenario_1,12_12,Exit_1,simple,items,,,,,,orange,window1,12_20,,,,,
Scenario_1,,Enter_12_10,mode_option,Exit_1,TRUE,,,,,orange,emoji_feet,,,,,,
Scenario_1,12_10,Exit_2,simple,items,,,,,,orange,window1,12_20,,,,,
Scenario_1,,Enter_12_12,mode_option,Exit_2,TRUE,,,,,orange,emoji_feet,,,,,,
Scenario_1,12_10,Exit_3,simple,items,,,,,,black,,12_4,,,,,
Scenario_1,,Enter_12_8,mode_option,Exit_3,TRUE,,,,,black,emoji_feet,,,,,,
Scenario_1,12_8,Exit_4,simple,items,,,,,,black,,12_4,,,,,
Scenario_1,,Enter_12_10,mode_option,Exit_4,TRUE,,,,,black,emoji_feet,,,,,,
,,,,,,,,,,,,,,,,,
Scenario_1,12_8,pretzel,simple,items,,,TRUE,TRUE,1,ungrey,pretzel,8_8,,,,,
Scenario_1,12_8,carrot,simple,items,,,TRUE,TRUE,1,ungrey,carrot,8_10,,,,,
Scenario_1,12_8,corn,simple,items,,,TRUE,TRUE,1,ungrey,corn,8_12,,,,,
Scenario_1,12_8,apple,simple,items,,,TRUE,TRUE,1,ungrey,apple,8_14,,,,,
Scenario_1,12_8,banana,simple,items,,,TRUE,TRUE,1,ungrey,banana,16_14,,,,,
Scenario_1,12_8,chilli,simple,items,,,TRUE,TRUE,1,ungrey,chilli,9_7,,,,,
Scenario_1,12_8,lemon,simple,items,,,TRUE,TRUE,1,ungrey,lemon,10_6,,,,,
Scenario_1,12_8,tomato,simple,items,,,TRUE,TRUE,1,ungrey,tomato,11_5,,,,,
Scenario_1,12_8,icecream,simple,items,,,TRUE,TRUE,1,ungrey,icecream,13_5,,,,,
Scenario_1,12_8,hotdog,simple,items,,,TRUE,TRUE,1,ungrey,hotdog,14_6,,,,,
Scenario_1,12_8,pizza,simple,items,,,TRUE,TRUE,1,ungrey,pizza,15_7,,,,,
Scenario_1,12_8,meat,simple,items,,,TRUE,TRUE,1,ungrey,meat,16_8,,,,,
Scenario_1,12_8,bread,simple,items,,,TRUE,TRUE,1,ungrey,bread,16_10,,,,,
Scenario_1,12_8,shrimp,simple,items,,,TRUE,TRUE,1,ungrey,shrimp,16_12,,,,,
Scenario_1,12_10,block_of_steel,simple,items,,,,,,dark_grey,,10_18,,,,,
Scenario_1,12_10,block_of_steel,simple,items,,,,,,dark_grey,,10_16,,,,,
Scenario_1,12_10,block_of_steel,simple,items,,,,,,dark_grey,,11_17,,,,,
Scenario_1,12_10,block_of_steel,simple,items,,,,,,dark_grey,,12_18,,,,,
Scenario_1,12_10,block_of_steel,simple,items,,,,,,dark_grey,,13_15,,,,,
Scenario_1,12_10,block_of_steel,simple,items,,,,,,dark_grey,,14_16,,,,,
Scenario_1,12_10,block_of_steel,simple,items,,,,,,dark_grey,,15_17,,,,,
Scenario_1,12_10,block_of_steel,simple,items,,,,,,dark_grey,,15_15,,,,,
Scenario_1,12_10,block_of_steel,simple,items,,,,,,dark_grey,,15_13,,,,,
Scenario_1,12_10,block_of_steel,simple,items,,,,,,dark_grey,,11_13,,,,,
Scenario_1,12_10,block_of_steel,simple,items,,,,,,dark_grey,,10_12,,,,,
Scenario_1,12_10,block_of_steel,simple,items,,,,,,dark_grey,,12_12,,,,,
Scenario_1,12_10,block_of_steel,simple,items,,,,,,dark_grey,,11_11,,,,,
Scenario_1,12_10,block_of_steel,simple,items,,,,,,dark_grey,,10_10,,,,,
Scenario_1,12_10,block_of_steel,simple,items,,,,,,dark_grey,,10_8,,,,,
Scenario_1,12_10,block_of_steel,simple,items,,,,,,dark_grey,,11_7,,,,,
Scenario_1,12_10,block_of_steel,simple,items,,,,,,dark_grey,,10_6,,,,,
Scenario_1,12_10,block_of_steel,simple,items,,,,,,dark_grey,,12_6,,,,,
Scenario_1,12_10,block_of_steel,simple,items,,,,,,dark_grey,,13_9,,,,,
Scenario_1,12_10,block_of_steel,simple,items,,,,,,dark_grey,,14_10,,,,,
Scenario_1,12_10,block_of_steel,simple,items,,,,,,dark_grey,,15_9,,,,,
Scenario_1,12_10,block_of_steel,simple,items,,,,,,dark_grey,,15_7,,,,,
Scenario_1,12_12,birdcage,simple,items,,,,,,blue,birdcage,8_16,,,,,
ALL,,block_of_steel,simple,items,,,,,,dark_grey,,,,,,,
ALL,,placeholder,simple,items,TRUE,,,,,,,,,,,,
ALL,,trigger,trigger,trigger,TRUE,,,,,,,,,,,,
ALL,,EDITOR1,simple,items,TRUE,TRUE,,,,grey,emoji_eye_y,22_4,,,,,
ALL,,EDITOR2,simple,items,TRUE,TRUE,,,,grey,laino2,22_6,,,,,
ALL,,EDITOR3,simple,items,TRUE,TRUE,,,,grey,stone,22_8,,,,,
ALL,,EDITOR4,simple,items,TRUE,TRUE,,,,grey,phone,22_10,,,,,
ALL,,EDITOR5,simple,items,TRUE,TRUE,,,,grey,bus,22_12,,,,,
ALL,,EDITOR6,simple,items,TRUE,,,,,grey,world,22_14,,,,,
ALL,,EDITOR7,simple,items,TRUE,,,,,grey,cam,22_16,,,,,
ALL,,EDITOR8,simple,items,TRUE,TRUE,,,,grey,tv,22_18,,,,,
ALL,,EDITOR9,simple,items,TRUE,TRUE,,,,grey,del2,22_20,,,,,
ALL,,EDITOR10,simple,items,TRUE,,,,,grey,cannabis,23_5,,,,,
ALL,,EDITOR11,simple,items,TRUE,,,,,grey,pizza,23_7,,,,,
ALL,,EDITOR12,simple,items,TRUE,,,,,grey,cig,23_9,,,,,
ALL,,EDITOR13,simple,items,TRUE,,,,,grey,ape,23_11,,,,,
ALL,,EDITOR14,simple,items,TRUE,,,,,grey,spritz2,23_13,,,,,
ALL,,EDITOR15,simple,items,TRUE,,,,,grey,satellite,23_15,,,,,
ALL,,EDITOR16,simple,items,TRUE,,,,,grey,pill3,23_17,,,,,
ALL,,EDITOR17,simple,items,TRUE,,,,,grey,shroom1,23_19,,,,,
ALL,,EDITOR18,simple,items,TRUE,,,,,grey,hotdog,23_3,,,,,
ALL,,observer,body,enemy,,,,,,light_grey,emoji_eye_y,10_14,2,1,,60,2
ALL,,kiss,mode_option,lover,TRUE,TRUE,,,,cyclama,emoji_lips_y,,,,,,
ALL,,echo,mode_option,my_body,TRUE,TRUE,,,,dark_grey,bow,,,,,,
ALL,,signal,signal,items,TRUE,,,,,white,,,10,1,,,
ALL,,bag,mode_option,my_body,TRUE,TRUE,,,,dark_grey,plastic_bag,,,,,,
ALL,,suicide,mode_option,my_body,TRUE,,,,,dark_grey,suicide,,,,,,
,,move,mode_option,my_body,TRUE,,,,,dark_grey,emoji_feet,,,,,,
ALL,,laino,mode_option,my_body,TRUE,TRUE,,,,dark_grey,laino2,,,,,,
ALL,,bag_placeholder,mode_option,bag,TRUE,,,,,yellowgrey,,,,,,,
ALL,,bag_placeholder,mode_option,bag,TRUE,,,,,yellowgrey,,,,,,,
ALL,,bag_placeholder,mode_option,bag,TRUE,,,,,yellowgrey,,,,,,,
ALL,,bag_placeholder,mode_option,bag,TRUE,,,,,yellowgrey,,,,,,,
ALL,,bag_placeholder,mode_option,bag,TRUE,,,,,yellowgrey,,,,,,,
ALL,,bag_placeholder,mode_option,bag,TRUE,,,,,yellowgrey,,,,,,,
,,north,mode_option,move,TRUE,,,,,,north,,,,,,
,,northeast,mode_option,move,TRUE,,,,,,northeast,,,,,,
,,southeast,mode_option,move,TRUE,,,,,,southeast,,,,,,
,,south,mode_option,move,TRUE,,,,,,south,,,,,,
,,southwest,mode_option,move,TRUE,,,,,,southwest,,,,,,
,,northwest,mode_option,move,TRUE,,,,,,northwest,,,,,,
ALL,,shit,simple,,,TRUE,TRUE,,1,brown,laino2,,,,,,
ALL,,product_shit,simple,,,,TRUE,,,brown,laino2,,,,,,
Scenario_2,,govna,mode_option,bokluk,TRUE,,,,,black,transmittor,,,,,,
Scenario_2,,laina,mode_option,bokluk,TRUE,,,,,green,tasche,,,,,,
Scenario_2,,otvrat,mode_option,bokluk,TRUE,,,,,green,suleiman1,,,,,,
Scenario_2,,smrad,mode_option,bokluk,TRUE,,,,,green,lizzard2,,,,,,
Scenario_2,,gadost,mode_option,bokluk,TRUE,,,,,green,skeletor3,,,,,,
,,gnus,mode_option,bokluk,TRUE,,,,,green,crown,,,,,,
Scenario_2,,shuplesto,mode_option,govna,TRUE,,,,,blue,chickin,,,,,,
Scenario_2,,luskavo,mode_option,govna,TRUE,,,,,blue,gvin1,,,,,,
Scenario_2,,cherno,mode_option,govna,TRUE,,,,,black,zombie3,,,,,,
Scenario_2,,mirizlivo,mode_option,govna,TRUE,,,,,blue,vampir1,,,,,,
Scenario_2,,techno,mode_option,govna,TRUE,,,,,blue,snail,,,,,,
Scenario_2,,mazno,mode_option,govna,TRUE,TRUE,,,,blue,zombie,,,,,,
Scenario_2,,my_body,body,my_body,TRUE,,,,,pink,alien2,12_12,1,1,red,600,
Scenario_2,12_12,bokluk,mobile,items,,,TRUE,,,green,egg,13_11,1,,,,
Scenario_2,,mitosis,mode_option,bokluk,TRUE,,,,,pink,mitosis,,,,,,
Scenario_2,,eat,mode_option,sensory,TRUE,TRUE,,,,dark_grey,emoji_lips_y,,,,,,
Scenario_2,,audio,mode_option,sensory,TRUE,TRUE,,,,dark_grey,emoji_ear_y,,,,,,
Scenario_2,,smel,mode_option,sensory,TRUE,TRUE,,,,dark_grey,emoji_nose_y,,,,,,
Scenario_2,,medi,mode_option,sensory,TRUE,,,,,dark_grey,medi2,,,,,,
Scenario_2,,touch,mode_option,sensory,TRUE,TRUE,,,,dark_grey,emoji_touch_y,,,,,,
Scenario_2,,see,mode_option,sensory,TRUE,TRUE,,,,dark_grey,emoji_eye_y,,,,,,
Scenario_2,,mitosis,mode_option,my_body,TRUE,,,,,dark_grey,mitosis,,,,,,
Scenario_2,,sensory,mode_option,my_body,TRUE,,,,,dark_grey,emoji_brain,,,,,,
